Scrape Time,Genre EN,Genre JP,Rank,Media,Title,Link,Date
2023_1206_1449,world,国際,1,ABEMA TIMES,233mからのバンジー直後に日本人死亡 原因は「気圧差」？,https://news.yahoo.co.jp/articles/a6207029e5206377c94561907b98147288ca9d3d,12/6(水) 8:01
2023_1206_1449,world,国際,2,ABEMA TIMES,もう、終わりなの？ ガタガタガタ…激しく揺れる機内は泣き出す人、遺書を書く人でパニックに エンジン火災→緊急着陸の被害は？ 中国,https://news.yahoo.co.jp/articles/b7d4362948f3021542428067d4e4fe5b4b9b22e2,12/6(水) 8:00
2023_1206_1449,world,国際,3,夕刊フジ,倒産続出〝ＥＶバブル〟終焉の中国　販売わずか５３６台、給料支給できない企業も…メーカーに在庫の山、荒々しい淘汰の波,https://news.yahoo.co.jp/articles/466cafd03ea0fb706aa9e58ec82293ce0beafccb,12/4(月) 17:00
2023_1206_1449,world,国際,4,中央日報日本語版,４キロ離れたロシア指揮官に命中…ウクライナを興奮させた「狙撃新記録」,https://news.yahoo.co.jp/articles/32df889d34a88eae73cd78293f508f25c7937349,12/6(水) 7:37
2023_1206_1449,world,国際,5,CNN.co.jp,知的障害あるパレスチナ人、軍服姿の男に撃たれ負傷　ヨルダン川西岸の映像,https://news.yahoo.co.jp/articles/453a81de401ee8a8a1aa61e1b4b22b3907a7fda5,12/6(水) 12:54
2023_1206_1449,world,国際,6,中央日報日本語版,トコジラミ、２匹流入後１２０日が過ぎれば３０００匹に…「完全駆除は不可」＝韓国,https://news.yahoo.co.jp/articles/af6c38ebf48920bf806f1176d29092dff36bd3ec,12/6(水) 13:17
2023_1206_1449,world,国際,7,ＡＦＰ＝時事,ゼレンスキー氏、米議員に支援訴える演説中止,https://news.yahoo.co.jp/articles/0f756bdbee71c25e890d255cebac3dd715f12f64,12/6(水) 13:04
2023_1206_1449,world,国際,8,ハンギョレ新聞,「ＢＴＳの国よ、化石燃料はパラサイト…」アジアの環境団体、ＣＯＰ２８で韓国を批判,https://news.yahoo.co.jp/articles/a63a20899292385bfd70f1cdbd1936589f3f26e2,12/6(水) 13:49
2023_1206_1449,world,国際,9,ロイター,イスラエル軍、ガザ南部最大都市を包囲　「最も激しい戦闘の日」,https://news.yahoo.co.jp/articles/02c466e304f15b96d308207e0861b901f2d2bfb0,12/6(水) 1:08
2023_1206_1449,world,国際,10,テレビ朝日系（ANN）,「世界で最もパワフルな女性」100人　1位はEU委員長　日本からも3人　米誌,https://news.yahoo.co.jp/articles/f8570e4525dcc1a3be9a2dbaa5b6314317a4caf6,12/6(水) 13:58
2023_1206_1449,world,国際,11,読売テレビ,【独自解説】北朝鮮に“新星女将軍”誕生⁉娘・ジュエ氏が最高指導者“象徴ペアルック”で軍視察　一方、1万人の前で涙した金正恩総書記は「健康状態があまり良くない」？,https://news.yahoo.co.jp/articles/fa46646f20afd3de178351e6a9fac35f56a5af54,12/6(水) 14:30
2023_1206_1449,world,国際,12,テレビ朝日系（ANN）,米経済誌が「世界で最もパワフルな女性」100人発表　1位はEU委員長　日本からも小池都知事ら3人選出,https://news.yahoo.co.jp/articles/f1b95fe61f91a7c68b1d35da79586816cecb4c3b,12/6(水) 13:30
2023_1206_1449,world,国際,13,ロイター,イスラエル国防相、ヨルダン川西岸入植者による暴力急増を非難,https://news.yahoo.co.jp/articles/d252c2ead0f732ce7fbd9a2c0c69550019de68c1,12/6(水) 7:18
