Scrape Time,Genre EN,Genre JP,Rank,Media,Title,Link,Date
2023_1206_1512,local,地域,1,MBSニュース,"「小説ごときで娘は殺されたのか。絶対に、絶対に許さない。」「遺体を引き取って顔を見ました。そこで私は子守唄を歌いました」遺族らが青葉真司被告に伝えた""ことば""【ドキュメント京アニ裁判⑱】",https://news.yahoo.co.jp/articles/c834d6fd8cb4e860df16114bafb649d51028e597,12/6(水) 10:14
2023_1206_1512,local,地域,2,チューリップテレビ,歯ブラシいつまで使う?1回使うと菌が1億個「食べかすが溜まると菌が増殖」水ですすぐだけではダメ　ポイントは,https://news.yahoo.co.jp/articles/b4cb4b36296ee92b8addd3654db766febf9a91bb,12/5(火) 19:38
2023_1206_1512,local,地域,3,BSS山陰放送,俳優・安田顕さんが突然来店、店主驚く　鳥取のオリジナル盤レコードこだわりの店「安田さんですか?」「そうです」「腰が抜けかけました」　2日連続来店,https://news.yahoo.co.jp/articles/f0406754e93784f6b6480d50ab9131dc4f471c14,12/6(水) 6:14
2023_1206_1512,local,地域,4,HBCニュース北海道,小学校のグラウンドにクマ１頭が出没　体長80センチくらい子グマか　駆け付けたハンターが駆除　けが人なし　北海道岩見沢市,https://news.yahoo.co.jp/articles/d9eec931e9ebc5170f619b0ae9310193a41ee174,12/6(水) 13:53
2023_1206_1512,local,地域,5,読売テレビ,「友達が炎に包まれた瞬間忘れられず」「一生“生き地獄”」京アニ事件で生き残った社員ら苦しみ語る,https://news.yahoo.co.jp/articles/75b81560be741ba01b0dffe7e5f0d3bf415b9e01,12/4(月) 14:53
2023_1206_1512,local,地域,6,RKB毎日放送,日本生まれ日本育ちなのに意思に反して「国籍喪失」“二重国籍”を認めない日本政府を訴えた女性（76）に裁判所はNO,https://news.yahoo.co.jp/articles/38d11d31fc218c2315f313f83a7c5a6fbab670bc,12/6(水) 13:20
2023_1206_1512,local,地域,7,MBSニュース,【独自】自殺ほのめかす児童のノートに、担任教諭が「you can do it（あなたならできる）」と”花マル”　奈良市が不適切対応と認める,https://news.yahoo.co.jp/articles/549f88b6861d4a91ef8be0e5c681b1c47a815d2a,12/6(水) 11:55
2023_1206_1512,local,地域,8,読売テレビ,全身の94％にやけど...「生き残ったことがつらい」京アニ事件で負傷した社員の悲痛な思い「同僚助けられず自分を責める」,https://news.yahoo.co.jp/articles/acc1df1d80d5fdca40b56b9e19f64bd812cca089,12/6(水) 11:36
2023_1206_1512,local,地域,9,岐阜新聞Ｗｅｂ,祖父母をコロナで亡くして「誰かの役に立ちたい」４０歳で看護の道に　夫の助言で仕事辞め一念発起,https://news.yahoo.co.jp/articles/ef062e7c7c0c0a8cb3a5546de82a13ab7daa0692,12/6(水) 9:54
2023_1206_1512,local,地域,10,MBSニュース,クマが食べたか…ワナにかかったシカの死相次ぐ、肉の味覚えた可能性も新たな目撃無し,https://news.yahoo.co.jp/articles/9939d157ddb2ceac5c8003813c4a3f007141c37f,12/6(水) 11:50
2023_1206_1512,local,地域,11,読売テレビ,【京アニ】家族亡くした遺族の悲痛な思い「（遺体が）腐っていくのを見ることしか…」「被告は他人事」,https://news.yahoo.co.jp/articles/ef1fb2a668eb0bd1e1ac4fb3911c38773cc5b5c9,11/30(木) 16:58
2023_1206_1512,local,地域,12,ｔｙｓテレビ山口,「くそ上司」SNSにひぼうの匿名投稿、内容から市職員と推測 下関市の男性職員（50代）を懲戒処分,https://news.yahoo.co.jp/articles/0a75bf61b375207cea92d7ea4394e1c0f92c135f,12/6(水) 14:21
2023_1206_1512,local,地域,13,静岡朝日テレビ,【異例】清水エスパルスがDFへの誹謗中傷に声明「極めて悪質なものであり、看過することはできません」警察や弁護士へ相談、法的措置も含め検討,https://news.yahoo.co.jp/articles/7ec916c629d643c8e692c994e0180cf455d6b16b,12/6(水) 13:39
2023_1206_1512,local,地域,14,FBS福岡放送,16歳との性的な行為をスマホで撮影した疑い　37歳の団体職員を逮捕　福岡,https://news.yahoo.co.jp/articles/1ad3ff4c89736fab29c8e8bf1cdca217f04c1419,12/6(水) 13:39
2023_1206_1512,local,地域,15,RKB毎日放送,小学生の男子児童（11）を“いきなり”壁に押しつける暴行か、逮捕された配送業の男（41）は「手を出していない」と供述,https://news.yahoo.co.jp/articles/890e420b2711336ceb6964f25d4a18129e5853fd,12/6(水) 12:36
2023_1206_1512,local,地域,16,ラジトピ　ラジオ関西トピックス,宝塚歌劇、東京宝塚劇場・宙組公演 12月24日千秋楽まで休演へ「公演への準備、整っていない」,https://news.yahoo.co.jp/articles/9f5f6c288b204f87d024d59ca433e3985d8180d7,12/6(水) 13:45
